id,risk_level,risk_dir,source_path,audited_path,issue_count,changes_applied
NPP_0020,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0020.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0020.json,1,
NPP_0021,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0021.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0021.json,3,metrics.rms_deviation___BSQC：将条件说明从 unit 移入 interpretation | metrics.rms_deviation___Fit：将条件说明从 unit 移入 interpretation
NPP_0022,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0022.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0022.json,1,metrics.root_mean_square_deviation：将条件说明从 unit 移入 interpretation
NPP_0023,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0023.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0023.json,1,metrics.logT_s：将条件说明从 unit 移入 interpretation
NPP_0025,P2,P2_review_needed,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0025.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P2_review_needed\NPP_0025.json,1,
NPP_0026,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0026.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0026.json,1,metrics.half_life：将条件说明从 unit 移入 interpretation
NPP_0027,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0027.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0027.json,1,metrics.half_life：将条件说明从 unit 移入 interpretation
NPP_0028,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0028.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0028.json,1,metrics.half_life：将条件说明从 unit 移入 interpretation
NPP_0029,PASS,PASS,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0029.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\PASS\NPP_0029.json,0,
NPP_0030,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0030.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0030.json,3,metrics.result_1：将条件说明从 unit 移入 interpretation | metrics.result_2：将条件说明从 unit 移入 interpretation
NPP_0031,PASS,PASS,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0031.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\PASS\NPP_0031.json,0,
NPP_0033,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0033.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0033.json,1,metrics.half_life：将条件说明从 unit 移入 interpretation
NPP_0035,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0035.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0035.json,2,metrics.alpha_decay_width：将条件说明从 unit 移入 interpretation | metrics.preformation_factor：将条件说明从 unit 移入 interpretation
NPP_0036,P2,P2_review_needed,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0036.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P2_review_needed\NPP_0036.json,2,metrics.half_life：将条件说明从 unit 移入 interpretation
NPP_0037,P2,P2_review_needed,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0037.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P2_review_needed\NPP_0037.json,1,
NPP_0039,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0039.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0039.json,1,metrics.half_life：将条件说明从 unit 移入 interpretation
NPP_0040,PASS,PASS,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0040.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\PASS\NPP_0040.json,0,
NPP_0041,PASS,PASS,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0041.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\PASS\NPP_0041.json,0,
NPP_0042,PASS,PASS,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0042.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\PASS\NPP_0042.json,0,
NPP_0043,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0043.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0043.json,2,metrics.half_life：将条件说明从 unit 移入 interpretation
NPP_0044,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0044.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0044.json,1,metrics.half_life：将条件说明从 unit 移入 interpretation
NPP_0045,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0045.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0045.json,2,metrics.alpha_decay_width：将条件说明从 unit 移入 interpretation | metrics.alpha_preformation_factor：将条件说明从 unit 移入 interpretation
NPP_0049,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0049.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0049.json,2,metrics.half_life：将条件说明从 unit 移入 interpretation | metrics.preformation_factor：将条件说明从 unit 移入 interpretation
NPP_0051,PASS,PASS,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0051.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\PASS\NPP_0051.json,0,
NPP_0052,PASS,PASS,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0052.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\PASS\NPP_0052.json,0,
NPP_0053,PASS,PASS,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0053.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\PASS\NPP_0053.json,0,
NPP_0058,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0058.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0058.json,1,metrics.half_life：将条件说明从 unit 移入 interpretation
NPP_0060,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0060.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0060.json,1,
NPP_0061,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0061.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0061.json,1,metrics.alpha_decay_width：将条件说明从 unit 移入 interpretation
NPP_0064,PASS,PASS,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0064.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\PASS\NPP_0064.json,0,
NPP_0065,P2,P2_review_needed,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0065.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P2_review_needed\NPP_0065.json,3,metrics.a_f_a_n：将条件说明从 unit 移入 interpretation | metrics.a_n：将条件说明从 unit 移入 interpretation
NPP_0067,PASS,PASS,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0067.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\PASS\NPP_0067.json,0,
NPP_0069,P2,P2_review_needed,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0069.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P2_review_needed\NPP_0069.json,1,
NPP_0070,P2,P2_review_needed,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0070.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P2_review_needed\NPP_0070.json,3,metrics.result_1：将条件说明从 unit 移入 interpretation | metrics.result_2：将条件说明从 unit 移入 interpretation
NPP_0071,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0071.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0071.json,2,metrics.binding_energy：将条件说明从 unit 移入 interpretation | metrics.alpha_decay_energy：将条件说明从 unit 移入 interpretation
NPP_0072,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0072.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0072.json,1,metrics.Q_value：将条件说明从 unit 移入 interpretation
NPP_0073,P2,P2_review_needed,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0073.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P2_review_needed\NPP_0073.json,1,
NPP_0075,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0075.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0075.json,1,metrics.half_life：将条件说明从 unit 移入 interpretation
NPP_0076,PASS,PASS,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0076.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\PASS\NPP_0076.json,0,
NPP_0077,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0077.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0077.json,4,metrics.result_1：将条件说明从 unit 移入 interpretation | metrics.result_2：将条件说明从 unit 移入 interpretation | metrics.result_3：将条件说明从 unit 移入 interpretation | metrics.result_4：将条件说明从 unit 移入 interpretation
NPP_0078,P2,P2_review_needed,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0078.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P2_review_needed\NPP_0078.json,2,metrics.half_life：将条件说明从 unit 移入 interpretation
NPP_0079,P2,P2_review_needed,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0079.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P2_review_needed\NPP_0079.json,2,
NPP_0080,PASS,PASS,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0080.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\PASS\NPP_0080.json,0,
NPP_0081,P2,P2_review_needed,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0081.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P2_review_needed\NPP_0081.json,1,
NPP_0082,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0082.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0082.json,1,metrics.half_life：将条件说明从 unit 移入 interpretation
NPP_0085,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0085.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0085.json,2,metrics.half_life：将条件说明从 unit 移入 interpretation
NPP_0086,PASS,PASS,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0086.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\PASS\NPP_0086.json,0,
NPP_0087,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0087.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0087.json,2,metrics.P：将条件说明从 unit 移入 interpretation | metrics.T__1_2：将条件说明从 unit 移入 interpretation
NPP_0088,P2,P2_review_needed,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0088.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P2_review_needed\NPP_0088.json,3,metrics.half_life：将条件说明从 unit 移入 interpretation | metrics.preformation_factor：将条件说明从 unit 移入 interpretation
NPP_0089,PASS,PASS,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0089.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\PASS\NPP_0089.json,0,
NPP_0090,P2,P2_review_needed,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0090.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P2_review_needed\NPP_0090.json,2,metrics.V_0：将条件说明从 unit 移入 interpretation
NPP_0091,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0091.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0091.json,1,metrics.half_life：将条件说明从 unit 移入 interpretation
NPP_0092,P2,P2_review_needed,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0092.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P2_review_needed\NPP_0092.json,2,metrics.half_life：将条件说明从 unit 移入 interpretation
NPP_0093,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0093.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0093.json,1,metrics.alpha_decay_width：将条件说明从 unit 移入 interpretation
NPP_0094,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0094.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0094.json,1,metrics.half_life：将条件说明从 unit 移入 interpretation
NPP_0095,PASS,PASS,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0095.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\PASS\NPP_0095.json,0,
NPP_0099,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0099.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0099.json,1,metrics.half_life：将条件说明从 unit 移入 interpretation
NPP_0101,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0101.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0101.json,2,metrics.half_life：将条件说明从 unit 移入 interpretation | metrics.preformation_factor：将条件说明从 unit 移入 interpretation
NPP_0103,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0103.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0103.json,2,metrics.result_1：将条件说明从 unit 移入 interpretation | metrics.result_2：将条件说明从 unit 移入 interpretation
NPP_0104,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0104.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0104.json,3,metrics.result_1：将条件说明从 unit 移入 interpretation | metrics.result_2：将条件说明从 unit 移入 interpretation | metrics.result_3：将条件说明从 unit 移入 interpretation
NPP_0105,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0105.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0105.json,2,metrics.half_life：将条件说明从 unit 移入 interpretation | metrics.alpha_cluster_preformation_probability：将条件说明从 unit 移入 interpretation
NPP_0107,P2,P2_review_needed,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0107.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P2_review_needed\NPP_0107.json,2,metrics.result_1：将条件说明从 unit 移入 interpretation
NPP_0108,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0108.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0108.json,1,metrics.half_life：将条件说明从 unit 移入 interpretation
NPP_0109,PASS,PASS,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0109.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\PASS\NPP_0109.json,0,
NPP_0110,P2,P2_review_needed,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0110.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P2_review_needed\NPP_0110.json,2,metrics.binding_energy：将条件说明从 unit 移入 interpretation
NPP_0111,PASS,PASS,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0111.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\PASS\NPP_0111.json,0,
NPP_0112,PASS,PASS,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0112.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\PASS\NPP_0112.json,0,
NPP_0113,PASS,PASS,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0113.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\PASS\NPP_0113.json,0,
NPP_0114,PASS,PASS,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0114.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\PASS\NPP_0114.json,0,
NPP_0115,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0115.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0115.json,1,metrics.result_1：将条件说明从 unit 移入 interpretation
NPP_0116,PASS,PASS,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0116.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\PASS\NPP_0116.json,0,metrics.result_2：将条件说明从 unit 移入 interpretation
NPP_0117,P1,P1_must_fix,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0117.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P1_must_fix\NPP_0117.json,13,第 3 步：error_tag 字符串 'null' 规范为 JSON null | 第 3 步：补充缺失 error_tag 为 'incorrect_derivation' | 第 3 步：补充缺失 error_reason | 第 5 步：error_tag 字符串 'null' 规范为 JSON null | 第 5 步：补充缺失 error_tag 为 'wrong_physical_interpretation' | 第 5 步：补充缺失 error_reason | 第 6 步：error_tag 字符串 'null' 规范为 JSON null | 第 6 步：补充缺失 error_tag 为 'wrong_approximation' | 第 6 步：补充缺失 error_reason | 第 7 步：error_tag 字符串 'null' 规范为 JSON null | 第 7 步：补充缺失 error_tag 为 'incorrect_derivation' | 第 7 步：补充缺失 error_reason
NPP_0118,P3,P3_polish,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0118.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P3_polish\NPP_0118.json,1,metrics.E_2_1：将条件说明从 unit 移入 interpretation
NPP_0119,P2,P2_review_needed,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0119.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P2_review_needed\NPP_0119.json,1,
NPP_0120,P1,P1_must_fix,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0120.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P1_must_fix\NPP_0120.json,1,第 22 步：action 由 'model_prediction' 规范为 'numerical_computation'
NPP_0121,P2,P2_review_needed,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0121.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P2_review_needed\NPP_0121.json,1,
NPP_0122,P1,P1_must_fix,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0122.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P1_must_fix\NPP_0122.json,2,第 12 步：action 由 'feature_engineering' 规范为 'model_building' | metrics.result_1：将条件说明从 unit 移入 interpretation
NPP_0123,P2,P2_review_needed,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0123.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research_audited\P2_review_needed\NPP_0123.json,2,metrics.result_1：将条件说明从 unit 移入 interpretation
