id,subdomain,source_doi,risk_level,risk_label,issue_count,recommended_action,num_steps,invalid_steps,title,parsed_title,file_path,parsed_path
NPP_0153,nuclear_scattering,arxiv_1009.0545,P2,人工复核,2,复核证据，确定保留、修复或替换。,16,5,Running Coupling Corrections to High Energy Inclusive Gluon Production,Running Coupling Corrections to High Energy Inclusive Gluon Production,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0153.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\核散射_截面\arxiv_1009.0545.md
NPP_0154,nuclear_scattering,arxiv_1206.4445,P2,人工复核,1,复核证据，确定保留、修复或替换。,11,2,Tensor polarization of deuterons passing through matter,Tensor polarization of deuterons passing through matter,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0154.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\核散射_截面\arxiv_1206.4445.md
NPP_0177,nuclear_scattering,arxiv_2404.01653,P2,人工复核,3,复核证据，确定保留、修复或替换。,19,2,Investigation of reaction and $\alpha$ production cross sections with 9Be projectile,Investigation of reaction and $\alpha$ production cross sections with 9Be projectile,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0177.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\核散射_截面\arxiv_2404.01653.md
NPP_0189,nuclear_scattering,arxiv_nucl-th_9212009,P2,人工复核,1,复核证据，确定保留、修复或替换。,20,5,Cross section fluctuations and chaoticity in heavy–ion dynamics,Cross section fluctuations and chaoticity in heavy–ion dynamics,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0189.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\核散射_截面\arxiv_nucl-th_9212009.md
NPP_0228,ml_alpha_halflife,arxiv_2603.07983,P2,人工复核,4,复核证据，确定保留、修复或替换。,6,0,Correlation between nuclear isospin asymmetry and $\alpha$ -particle preformation probability for superheavy nuclei from a Bayesian inference,Correlation between nuclear isospin asymmetry and $\alpha$ -particle preformation probability for superheavy nuclei from a Bayesian inference,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0228.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\机器学习_alpha半衰期\arxiv_2603.07983.md
NPP_0002,alpha_decay_wkb,arxiv_0806.1903,P3,格式清理,1,批量清理格式和文本问题。,14,0,Quantum time scales in alpha tunneling,Quantum time scales in alpha tunneling,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0002.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha   WKB\arxiv_0806.1903.md
NPP_0004,alpha_decay_wkb,arxiv_0909.1602,P3,格式清理,3,批量清理格式和文本问题。,12,2,A new barrier penetration formula and its application to $\alpha$ -decay half-lives,A new barrier penetration formula and its application to $\alpha$ -decay half-lives,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0004.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha   WKB\arxiv_0909.1602.md
NPP_0006,alpha_decay_wkb,arxiv_1401.1841,P3,格式清理,1,批量清理格式和文本问题。,14,0,Tunneling times and bremsstrahlung in alpha decay,Tunneling times and bremsstrahlung in alpha decay,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0006.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha   WKB\arxiv_1401.1841.md
NPP_0007,alpha_decay_wkb,arxiv_1405.5633,P3,格式清理,1,批量清理格式和文本问题。,13,1,On the Validity of the Geiger-Nuttall Alpha-Decay Law and its Microscopic Basis,On the Validity of the Geiger-Nuttall Alpha-Decay Law and its Microscopic Basis,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0007.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha   WKB\arxiv_1405.5633.md
NPP_0008,alpha_decay_wkb,arxiv_1608.00701,P3,格式清理,2,批量清理格式和文本问题。,14,2,"Unified description of the proton, alpha, cluster decays and spontaneously fissions half- life","Unified description of the proton, alpha, cluster decays and spontaneously fissions half- life",D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0008.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha   WKB\arxiv_1608.00701.md
NPP_0011,alpha_decay_wkb,arxiv_1707.04568,P3,格式清理,2,批量清理格式和文本问题。,13,1,Systematic study of α decay using different versions of proximity formalism,Systematic study of α decay using different versions of proximity formalism,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0011.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha   WKB\arxiv_1707.04568.md
NPP_0012,alpha_decay_wkb,arxiv_1708.01935,P3,格式清理,2,批量清理格式和文本问题。,11,0,α-decay half-lives for Pb isotopes within Gamow-like model,α-decay half-lives for Pb isotopes within Gamow-like model,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0012.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha   WKB\arxiv_1708.01935.md
NPP_0013,alpha_decay_wkb,arxiv_2402.06069,P3,格式清理,2,批量清理格式和文本问题。,19,2,Exploring the competition between $\alpha$ -decay and proton radioactivity: A comparative study of proximity potential formalisms,Exploring the competition between $\alpha$ -decay and proton radioactivity: A comparative study of proximity potential formalisms,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0013.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha   WKB\arxiv_2402.06069.md
NPP_0015,alpha_decay_wkb,arxiv_2407.19647,P3,格式清理,1,批量清理格式和文本问题。,13,1,Correlation between alpha-decay half-lives and symmetry energy,Correlation between alpha-decay half-lives and symmetry energy,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0015.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha   WKB\arxiv_2407.19647.md
NPP_0016,alpha_decay_wkb,arxiv_2508.03155,P3,格式清理,3,批量清理格式和文本问题。,20,3,Machine Learning-Driven High-Precision Model for,Machine Learning-Driven High-Precision Model for,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0016.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha   WKB\arxiv_2508.03155.md
NPP_0017,alpha_decay_wkb,arxiv_2509.01343,P3,格式清理,1,批量清理格式和文本问题。,16,1,The nuclear surface diffuseness effects on the alpha decay of heavy and super heavy nuclei,The nuclear surface diffuseness effects on the alpha decay of heavy and super heavy nuclei,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0017.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha   WKB\arxiv_2509.01343.md
NPP_0018,alpha_decay_wkb,arxiv_2510.02764,P3,格式清理,1,批量清理格式和文本问题。,17,2,Role of universal function of the nuclear proximity potential: A systematic study on the alpha-decay of heavy/super-heavy nuclei and $\alpha$ -induced reactions,Role of universal function of the nuclear proximity potential: A systematic study on the alpha-decay of heavy/super-heavy nuclei and $\alpha$ -induced reactions,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0018.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha   WKB\arxiv_2510.02764.md
NPP_0019,alpha_decay_wkb,arxiv_2510.18199,P3,格式清理,1,批量清理格式和文本问题。,14,1,Nonlocality Effect in the Tunneling of Alpha Radioactivity with the Aid of Machine Learning,Nonlocality Effect in the Tunneling of Alpha Radioactivity with the Aid of Machine Learning,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0019.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha   WKB\arxiv_2510.18199.md
NPP_0020,alpha_decay_wkb,arxiv_2510.18577,P3,格式清理,1,批量清理格式和文本问题。,18,1,$\alpha$ -decay systematics for superheavy nucleus: The effect of deformation of daughter nucleus,$\alpha$ -decay systematics for superheavy nucleus: The effect of deformation of daughter nucleus,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0020.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha   WKB\arxiv_2510.18577.md
NPP_0021,alpha_decay_wkb,arxiv_2602.02070,P3,格式清理,3,批量清理格式和文本问题。,21,4,A global potential constrained by the Bohr-Sommerfeld quantization condition for $\alpha$ -decay half-lives of even-even nuclei,A global potential constrained by the Bohr-Sommerfeld quantization condition for $\alpha$ -decay half-lives of even-even nuclei,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0021.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha   WKB\arxiv_2602.02070.md
NPP_0022,alpha_decay_wkb,arxiv_2603.16199,P3,格式清理,1,批量清理格式和文本问题。,17,0,Prediction of Alpha-Decay Half-Lives of Actinide Nuclei Using the DDM3Y Effective Interaction Potential,Prediction of Alpha-Decay Half-Lives of Actinide Nuclei Using the DDM3Y Effective Interaction Potential,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0022.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha   WKB\arxiv_2603.16199.md
NPP_0023,alpha_decay_wkb,arxiv_nucl-th_0204010,P3,格式清理,1,批量清理格式和文本问题。,10,0,A microscopic description for the alpha decay of nuclei using a realistic effective interaction,A microscopic description for the alpha decay of nuclei using a realistic effective interaction,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0023.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha   WKB\arxiv_nucl-th_0204010.md
NPP_0026,alpha_decay_wkb,scielo_RodriguezGuzman_2011,P3,格式清理,1,批量清理格式和文本问题。,16,1,Alpha decay half-lives of superheavy,Alpha decay half-lives of superheavy,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0026.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha   WKB\scielo_RodriguezGuzman_2011.md
NPP_0027,alpha_decay_wkb,arxiv_nucl-th_0703086,P3,格式清理,1,批量清理格式和文本问题。,12,0,Predictions of Alpha Decay Half lives of Heavy and Superheavy Elements,Predictions of Alpha Decay Half lives of Heavy and Superheavy Elements,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0027.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha   WKB\arxiv_nucl-th_0703086.md
NPP_0028,alpha_decay_wkb,arxiv_1711.09605,P3,格式清理,1,批量清理格式和文本问题。,12,2,Unearthing radial independence for prediction of alpha-decay half-lives,Unearthing radial independence for prediction of alpha-decay half-lives,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0028.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha   WKB\arxiv_1711.09605.md
NPP_0030,alpha_decay_liquid_drop,arxiv_1301.1767,P3,格式清理,3,批量清理格式和文本问题。,20,3,ALPHA DECAY FAVOURED ISOTOPES OF SOME SUPERHEAVY NUCLEI: SPONTANEOUS FISSION VERSUS ALPHA DECAY,ALPHA DECAY FAVOURED ISOTOPES OF SOME SUPERHEAVY NUCLEI: SPONTANEOUS FISSION VERSUS ALPHA DECAY,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0030.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha_液滴模型\arxiv_1301.1767.md
NPP_0033,alpha_decay_liquid_drop,arxiv_1609.05495,P3,格式清理,1,批量清理格式和文本问题。,11,1,Predictions on the alpha decay chains of superheavy nuclei with $\mathbf { Z } = \mathbf { 1 } 2 1$ within the range $2 9 0 \leq \mathrm { A } \leq 3 3 9$,Predictions on the alpha decay chains of superheavy nuclei with $\mathbf { Z } = \mathbf { 1 } 2 1$ within the range $2 9 0 \leq \mathrm { A } \leq 3 3 9$,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0033.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha_液滴模型\arxiv_1609.05495.md
NPP_0035,alpha_decay_liquid_drop,arxiv_2005.03836,P3,格式清理,2,批量清理格式和文本问题。,8,1,"Systematic study of the $\alpha$ decay preformation factor of nuclei around the ${ Z = 8 2 }$ , $N = 1 2 6$ shell closures within a generalized liquid drop model *","Systematic study of the $\alpha$ decay preformation factor of nuclei around the ${ Z = 8 2 }$ , $N = 1 2 6$ shell closures within a generalized liquid drop model *",D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0035.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha_液滴模型\arxiv_2005.03836.md
NPP_0039,alpha_decay_liquid_drop,arxiv_2503.10987,P3,格式清理,1,批量清理格式和文本问题。,17,0,Systematic calculation on α decay and cluster radioactivity of superheavy nuclei,Systematic calculation on α decay and cluster radioactivity of superheavy nuclei,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0039.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha_液滴模型\arxiv_2503.10987.md
NPP_0043,alpha_decay_liquid_drop,arxiv_nucl-th_0607060,P3,格式清理,2,批量清理格式和文本问题。,13,2,$\alpha$ decay half-lives of new superheavy nuclei within a generalized liquid drop model,$\alpha$ decay half-lives of new superheavy nuclei within a generalized liquid drop model,D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0043.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha_双折叠势模型\arxiv_nucl-th_0607060.md
NPP_0044,alpha_decay_shell_model,10_GLDM_shell_Liu_2020,P3,格式清理,1,批量清理格式和文本问题。,11,0,"Systematic study of the $\alpha$ decay preformation factor of nuclei around the ${ Z = 8 2 }$ , $N = 1 2 6$ shell closures within a generalized liquid drop model *","Systematic study of the $\alpha$ decay preformation factor of nuclei around the ${ Z = 8 2 }$ , $N = 1 2 6$ shell closures within a generalized liquid drop model *",D:\Sci-Evo 我能突破束缚的团队核物理数据集\dataset\final\Research\NPP_0044.json,D:\Sci-Evo 我能突破束缚的团队核物理数据集\parsed\papers\alpha_壳模型\10_GLDM_shell_Liu_2020.md
